Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"G1,G1",LetSatLogo440,2,LOGO,
3,"U8,U7,U6",SI8660BA-B-IS1,3,Si8660_SOIC-16,
4,R4,R_0805,1,63.4k,
5,"C2,C4",C22,2,22uF,
6,"U1,U2",QFN-20,2,MPM3620,
7,R6,R_0805,1,51k,
8,"R1,R5",R_0805,2,160k,
9,R2,R_0805,1,30.1k,
10,"R3,R7",R_0805,2,100k,
11,R8,R_0805,1,56k,
12,J2,OSTTA024163,1,OSTTA024163,
13,"C1,C3",C22,2,10uF,
14,C5,C22,1,1uF Electrolytic,
15,"C6, C7,C8,C9,C11,C12,C15,C16,C17,C18,C19,C20,C21,C22,C27,C28,C29",C_0603,17,.1uF,
16,"D1,D5",D_SOD-323,2,D_Zener 9V,
17,"D2,D3,D4,D6,D7,D8",D_1206,6,LED,
18,"IC1,IC2,IC3",SOT95P280X145-5N,3,CS30CL,
19,"J4,J6",Pin_Header_Straight_1x03_Pitch2.54mm,2,Conn_01x03,
20,J5,Pin_Header_Straight_1x02_Pitch2.54mm,1,Conn_01x02,
21,"Q1,Q2,Q3",SOT-23,3,MOSFET_N,
22,"R9,R10,R12",R_0603,3,10k,
23,R11,R_0603,1,30k,
24,"R13,R14,R15",R_2512,3,Dummy Load,
25,"R16,R17,R20",R_0805,3,25m,
26,"R18,R25",R_0603,2,1k,
27,"R19,R23,R26,R27,R28,R29,R30,R31,R33,R34",R_0603,10,330,
28,"R21,R24",R_0603,2,180,
29,R22,R_0603,1,100k,
30,R32,R_0805,1,0,
31,U3,MCP6H04-E,1,MCP6H04-E/SL,
32,U4,ADC128D818CIMTX,1,ADC128D818CIMTX,
33,,ISO1540DR,1,ISO1540DR,
35,U9,msata-socket,1,MSATA-Socket,
36,J1,ComExpressMini10,1,CONN_3-6318491-6,
37,"D14,D13,D12,D11,D10,D9,D16,D15",D_0603,8,LED,
38,SHIELD1,Arduino_Due_Shield,1,ARDUINO_DUE_SHIELD,
